Candidate,Date,Headline,Site
trump,2016-10-15,Magnate’s Twin Goals: Fighting Climate Change and Electing Donald Trump,New York Times
trump,2016-10-15,Where the Trump Name Is Emblazoned Now: The Front Yard,New York Times
trump,2016-10-15,Donald Trump’s Barrage of Heated Rhetoric Has Little Precedent,New York Times
trump,2016-10-15,"‘We Should Take a Drug Test’ Before Debate, Donald Trump Says",New York Times
trump,2016-10-15,Michelle Schools Donald Trump,New York Times
trump,2016-10-15,Issues in Hillary Clinton’s Past Leave Her Muted in Furor Over Donald Trump,New York Times
trump,2016-10-15,"As a Black Republican Senator, Tim Scott Faces a Unique Donald Trump Issue",New York Times
trump,2016-10-16,Officials Fight Donald Trump’s Claims of a Rigged Vote,New York Times
trump,2016-10-16,Donald Trump Says He’s a ‘Big Fan’ of Hindus,New York Times
trump,2016-10-16,Peter Thiel to Donate $1.25 Million in Support of Donald Trump,New York Times
trump,2016-10-16,"Hillary Clinton Builds $150 Million War Chest, Doubling Donald Trump",New York Times
trump,2016-10-16,"Donald Trump and the G.O.P.: The Party of Lincoln, Reagan and, Perhaps, Extinction",New York Times
trump,2016-10-16,"Specter of Trump Loosens Tongues, if Not Purse Strings, in Silicon Valley",New York Times
trump,2016-10-16,Ripples From the ‘How Low Can They Go’ Campaign,New York Times
trump,2016-10-16,The California Ballot Measure That Inspired a Tax Revolt,New York Times
trump,2016-10-16,"Corrections: October 16, 2016",New York Times
trump,2016-10-16,North Carolina G.O.P. Building Is Firebombed,New York Times
trump,2016-10-17,"Donald Trump, the Worst of America",New York Times
trump,2016-10-17,Donald Trump’s Playbook for Smearing,New York Times
trump,2016-10-17,The New Protesters Defying Donald Trump: His Customers,New York Times
trump,2016-10-17,"For Donald Trump, Lessons in Grace",New York Times
trump,2016-10-17,Audience Members Walk Out on Amy Schumer After Trump Criticisms,New York Times
trump,2016-10-17,Donald Trump Reveals Evangelical Rifts That Could Shape Politics for Years,New York Times
trump,2016-10-17,Why Trump Doubled Down on the Central Park Five,New York Times
trump,2016-10-17,‘They’re Lies’: Melania Trump Rejects Women’s Claims That Husband Groped Them,New York Times
trump,2016-10-17,Jared Kushner Talks of a Trump TV Network With a Media Deal Maker,New York Times
trump,2016-10-17,I Hardly Expected My Letter to Donald Trump to Go Viral,New York Times
trump,2016-10-18,Pledging the Trump Fraternity,New York Times
trump,2016-10-18,Obama to Trump: Stop Whining,New York Times
trump,2016-10-18,Trump Calls for Term Limits,New York Times
trump,2016-10-18,What Our Sons Are Learning From Donald Trump,New York Times
trump,2016-10-18,Shameful Silence on Donald Trump’s Lies About Vote-Rigging,New York Times
trump,2016-10-18,Donald Trump Says He Might Meet With Putin Before Inauguration,New York Times
trump,2016-10-18,Obama Tells Trump: Stop ‘Whining’ and Trying to Discredit the Election,New York Times
trump,2016-10-18,Hillary Clinton and Donald Trump Answer Your Questions,New York Times
trump,2016-10-18,"Trump Wants Big Changes to Legal Immigration, Too — How Big?",New York Times
trump,2016-10-18,Magazine Says Six People Corroborate Writer’s Claim Trump Assaulted Her,New York Times
trump,2016-10-19,The Trump Afterlife,New York Times
trump,2016-10-19,Trump in a Bikini,New York Times
trump,2016-10-19,Melania Trump Mimics Hillary Clinton to Defend Donald Trump,New York Times
trump,2016-10-19,The Religious Right’s Trump Schism,New York Times
trump,2016-10-19,Goldman Sachs C.E.O. on Trump,New York Times
trump,2016-10-19,Trump and Clinton’s Last Debate: Analysis,New York Times
trump,2016-10-19,Review: ‘Michael Moore in TrumpLand’ Isn’t About Donald Trump,New York Times
